名称,英文ID,稀有度,类型,费用,关键词,效果,升级效果
唤醒,AWAKEN,基础,攻击,1,,对所有敌人造成4点伤害，并给予2层损伤。,伤害+2；损伤+1
打击,MZK_STRIKE,基础,攻击,1,,造成5点伤害，给予1层损伤。,伤害+3；损伤+1
防御,MZK_DEFENCE,基础,技能,1,,获得5点格挡。,格挡+3
收割,HARVEST,普通,攻击,1,,\u82e5\u672a\u53ec\u5524\u6536\u5272\u4e4b\u521d\uff0c\u5219\u53ec\u5524\uff1b\u82e5\u5df2\u53ec\u5524\uff0c\u5219\u7ed9\u4e88\u51763\u5c42\u6d77\u55e3\u5316\uff1b\u9020\u62105\u70b9\u4f24\u5bb3\u3002,伤害+3
损伤,HURT,普通,攻击,1,自动打出,受到2点伤害。,
共生,IRON_WAVE,普通,攻击,1,,"造成5点伤害
获得5点格挡",格挡+3；伤害+2
闪击,SHARE,普通,攻击,1,自动打出,随机对一名敌人造成6点伤害。,伤害+3
抽扫,SPRAY,普通,攻击,1,自动打出,"对所有敌人造成3点伤害,1层易伤",伤害+2；易伤+1
横扫,SWEEP,普通,攻击,1,,对所有敌人造成9点伤害，向你的弃牌堆中加入一张晕眩。,伤害+3
触手打击,VAL_STRIKE,普通,攻击,1,,造成7点伤害，给予1层易伤,伤害+3；易伤+1
漂浮,FLOAT,普通,技能,2,保留,\u82e5\u672a\u53ec\u5524\u6d6e\u6d77\u6f02\u79fb\u8005\uff0c\u5219\u53ec\u5524\uff1b\u82e5\u5df2\u53ec\u5524\uff0c\u5219\u7ed9\u4e88\u51763\u5c42\u6d77\u55e3\u5316\uff1b\u62bd2\u5f20\u724c\u3002,抽牌+1
学习,LEARN,普通,技能,1,消耗、自动打出,抽2张牌。,抽牌+1
神经毒素,MZK_NEUROTOXIN,普通,技能,2,,"随机给予敌人3层损伤
重复3次",重复次数+1
神经荆棘,MZK_SANITY_THORNS,普通,技能,2,,"获得10点格挡,获得1层毒素棘刺。",毒素棘刺+1；格挡+2
潜行,MZK_STEALTH,普通,技能,2,,"获得12点格挡,获得1层潜行。",格挡+5
神经分离,CUT_DOWN,罕见,攻击,1,,"造成8点伤害
敌人在本回合失去3点力量",伤害+3
回响斩击,ECHO_ATTACK,罕见,攻击,1,,造成[回响1]4点伤害2次。,伤害+3
终结,END,罕见,攻击,1,,"随机造成3点伤害3次
可无限升级。",次数+1
逃脱,ESCAPE,罕见,攻击,2,,对所有敌人造成4点伤害，进入海嗣。,伤害+2
镜花水月,MZK_MIRROR_FLOWER,罕见,攻击,1,,"对所有敌人造成6点伤害2次。
若敌人数量少于等于2，失去6点生命。",伤害+3；生命流失-3
拯救,REVIVE,罕见,攻击,2,,对所有敌人造成4点伤害，进入人类。,伤害+4
漩涡,WHIRLPOOL,罕见,攻击,1,,随机对敌人造成4点伤害2次。,伤害+1
缠绕,AROUND,罕见,技能,1,,抽1张牌，给予1层虚弱,虚弱+1；抽牌+1
海嗣全家桶,AUTO_PLAY_ALL,罕见,技能,1,消耗、自动打出,"将三张急速牌加入你的弃牌堆中，获得一张本牌的复制
本牌不会自动打出。",移除消耗
暴食,BIGGE,罕见,技能,1,,从弃牌堆里选择至多1张牌消耗，对所有敌人施加等量损伤。,可消耗牌数+2
镜中水月,COPY,罕见,技能,2,消耗,重复你打出的上一张牌，重复1次。,次数+1；移除消耗
回响侵蚀,ECHO_SANITY,罕见,技能,1,,施加[回响2]2层损伤。,损伤+2
阐释,EXPLAIN,罕见,技能,1,消耗、自动打出,获得1\u70b9\u80fd\u91cf。,移除消耗
碳烤海沫腿,FOOD,罕见,技能,0,消耗,"获得1\u70b9\u80fd\u91cf,抽2张牌。",抽牌+1
超载,OVERLOAD,罕见,技能,0,消耗,将3张闪击洗入你的抽牌堆，向弃牌堆加入一张损伤,移除消耗
回溯,RETURN,罕见,技能,1,,失去4点生命，抽3张牌。,失去生命-2
海蛇猛咬,SEA_SNAKE_BIG_BITE,罕见,技能,1,消耗、虚无,给予5层损伤。,损伤+2
海蛇咬,SEA_SNAKE_BITE,罕见,技能,2,自动打出,给予6层损伤。,损伤+3
征兆,SIGN,罕见,技能,1,,"失去3点生命，你的下一次攻击附带1层损伤
下一张攻击牌伤害提高3。",下次攻击附带损伤+1；失去生命-1
创伤,TRAUMA,罕见,技能,1,自动打出,你的下一次攻击额外附带2层损伤,下次攻击附带损伤+1
痛感适应,ADAPT_PAIN,罕见,能力,2,,"每当你失去4次生命,防止你的下一次生命值损失。",\u8d39\u7528-1
创伤性癔症,ATTACK_SANITY,罕见,能力,1,,获得1层创伤性癔症。,创伤性癔症+1
触手屏障,AUTO_SHEILD,罕见,能力,1,,"每打出一张急速牌,获得1点格挡。",触手屏障+1
损伤解限,MZK_UNLIMIT,罕见,能力,1,,获得1层损伤解限。,损伤解限+1
影随,SHADOW,罕见,能力,1,,回合内每打出一张急速牌，回合结束时对敌人造成1点伤害。,获得固有
震撼,SHOCK,稀有,攻击,1,自动打出,对所有敌人造成5点伤害，施加1层损伤。,损伤+1
认知重组,ECHO_GENERATE_AUTO,稀有,技能,1,,随机将[回响3]2张急速牌洗入你的弃牌堆。,获得保留
